Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Otras tecnologias,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras velocidades,Total accesos
2022,2,Buenos Aires,77.58,26.13,4660984,6199.0,350652.0,2719613.0,1399043.0,126847.0,71028.0,65.5,30639.0,28323.0,295238.0,307554.0,273954.0,129869.0,3535757.0,65849.0,4667183.0
2022,2,Capital Federal,121.31,49.87,1534626,2145.0,145491.0,1232226.0,121506.0,5757.0,31791.0,93.97,517.0,5980.0,36036.0,72434.0,55372.0,31571.0,1229254.0,105607.0,1536771.0
2022,2,Catamarca,62.4,15.87,67007,1.0,11928.0,9430.0,42087.0,1329.0,2234.0,56.56,71.0,413.0,3678.0,6155.0,7165.0,3393.0,43926.0,2207.0,67008.0
2022,2,Chaco,43.79,11.7,143559,5.0,29552.0,61284.0,42194.0,8178.0,2356.0,50.61,461.0,1047.0,17603.0,20109.0,8391.0,15974.0,76271.0,3708.0,143564.0
2022,2,Chubut,83.19,25.5,161901,904.0,45377.0,69242.0,9574.0,29784.0,8828.0,14.91,109.0,1444.0,45804.0,31217.0,34290.0,14526.0,15394.0,20021.0,162805.0
2022,2,Córdoba,87.48,26.78,1026367,68.0,179181.0,467595.0,308895.0,61107.0,9657.0,53.51,99.0,11971.0,160486.0,120485.0,71923.0,28645.0,619400.0,13426.0,1026435.0
2022,2,Corrientes,48.35,12.73,144993,4.0,38468.0,75769.0,18181.0,7256.0,5323.0,43.31,67.0,3937.0,24253.0,24842.0,8001.0,21719.0,55071.0,7107.0,144997.0
2022,2,Entre Ríos,63.9,19.1,269330,22.0,63794.0,131029.0,35839.0,26098.0,12592.0,40.03,107.0,5656.0,48637.0,48557.0,18512.0,32355.0,98769.0,16759.0,269352.0
2022,2,Formosa,43.42,11.05,67881,0.0,15397.0,25487.0,9875.0,16910.0,212.0,28.47,97.0,407.0,23834.0,19706.0,6330.0,591.0,16326.0,590.0,67881.0
2022,2,Jujuy,57.32,14.66,115314,0.0,20303.0,54495.0,34184.0,3955.0,2377.0,29.39,58.0,1829.0,19458.0,15790.0,37786.0,549.0,37391.0,2453.0,115314.0
2022,2,La Pampa,92.98,30.63,111356,171.0,7796.0,59273.0,22994.0,20200.0,1264.0,16.07,68.0,1887.0,62546.0,9842.0,11800.0,5247.0,17125.0,3012.0,111527.0
2022,2,La Rioja,80.14,21.33,86026,4.0,7759.0,52656.0,19189.0,6395.0,31.0,43.28,18.0,728.0,3179.0,3890.0,23814.0,5481.0,48920.0,0.0,86030.0
2022,2,Mendoza,49.39,13.78,278785,777.0,37663.0,77504.0,135504.0,26964.0,1927.0,29.72,103.0,2954.0,44961.0,22557.0,64138.0,19543.0,121366.0,3940.0,279562.0
2022,2,Misiones,51.0,13.89,178813,0.0,37208.0,89260.0,33649.0,11074.0,7622.0,46.23,51.0,3808.0,37254.0,21712.0,12774.0,19757.0,75107.0,8350.0,178813.0
2022,2,Neuquén,80.02,23.82,161500,468.0,29749.0,74905.0,28824.0,27371.0,1119.0,46.53,134.0,999.0,38826.0,15066.0,9205.0,2039.0,76982.0,18717.0,161968.0
2022,2,Río Negro,67.85,20.87,159216,548.0,36050.0,47040.0,40946.0,16760.0,18968.0,33.26,111.0,1227.0,33364.0,17938.0,27168.0,13714.0,41972.0,24270.0,159764.0
2022,2,Salta,57.54,13.94,203172,5.0,42665.0,96178.0,47076.0,10068.0,7190.0,38.77,114.0,1530.0,33732.0,72661.0,6012.0,1156.0,81478.0,6494.0,203177.0
2022,2,San Juan,49.46,12.6,100126,281.0,38570.0,19734.0,12328.0,21859.0,7916.0,14.44,24.0,2027.0,30385.0,11276.0,24649.0,3728.0,16701.0,11617.0,100407.0
2022,2,San Luis,81.76,23.4,121559,182.0,6860.0,29034.0,248.0,70614.0,14985.0,19.32,60.0,306.0,6840.0,21217.0,11052.0,67438.0,13.0,14815.0,121741.0
2022,2,Santa Cruz,43.15,12.84,48987,198.0,10170.0,23725.0,10815.0,3896.0,579.0,11.81,52.0,6841.0,12348.0,11369.0,11885.0,2454.0,3592.0,644.0,49185.0
2022,2,Santa Fe,77.9,24.5,878749,110.0,198492.0,428233.0,189503.0,43081.0,19550.0,42.01,468.0,11757.0,138534.0,204381.0,74133.0,58114.0,373888.0,17584.0,878859.0
2022,2,Santiago Del Estero,47.7,11.84,118042,2.0,16561.0,80338.0,11605.0,6618.0,2922.0,16.34,178.0,1401.0,29581.0,59931.0,14606.0,883.0,10672.0,792.0,118044.0
2022,2,Tierra Del Fuego,99.86,29.6,53458,312.0,12754.0,39837.0,403.0,125.0,651.0,10.97,22.0,831.0,12052.0,14828.0,19968.0,1712.0,1006.0,3351.0,53770.0
2022,2,Tucumán,59.31,14.69,254497,30.0,85893.0,15327.0,148823.0,3997.0,487.0,50.09,39.0,2195.0,34461.0,43513.0,23634.0,4863.0,145541.0,281.0,254527.0
2022,1,Buenos Aires,76.08,25.56,4549131,6293.0,392045.0,2728865.0,1242121.0,125521.0,66872.0,62.51,31591.0,30056.0,313382.0,321756.0,290127.0,161183.0,3381049.0,26280.0,4555424.0
2022,1,Capital Federal,111.8,46.01,1415378,2163.0,102290.0,1217225.0,62308.0,5784.0,29934.0,88.22,527.0,5575.0,39918.0,77390.0,61053.0,43289.0,1188072.0,1717.0,1417541.0
2022,1,Catamarca,58.21,14.81,62377,1.0,14181.0,15517.0,29118.0,1328.0,2234.0,51.22,71.0,456.0,4386.0,7009.0,8773.0,3761.0,35715.0,2207.0,62378.0
2022,1,Chaco,44.06,11.78,144114,5.0,32391.0,64546.0,36662.0,8164.0,2356.0,45.84,461.0,1099.0,16888.0,21235.0,20898.0,13012.0,62946.0,7580.0,144119.0
2022,1,Chubut,88.05,26.99,170701,927.0,44133.0,66667.0,9184.0,30592.0,21052.0,13.4,113.0,1677.0,61369.0,31856.0,33080.0,13871.0,14055.0,15607.0,171628.0
2022,1,Córdoba,85.76,26.26,1003729,74.0,195610.0,501799.0,235838.0,60843.0,9713.0,49.89,100.0,12782.0,165922.0,126009.0,73967.0,34892.0,577027.0,13104.0,1003803.0
2022,1,Corrientes,47.64,12.55,142574,4.0,40462.0,79093.0,10875.0,6774.0,5374.0,38.11,67.0,4029.0,24563.0,25665.0,27077.0,10452.0,43631.0,7094.0,142578.0
2022,1,Entre Ríos,63.7,19.05,267904,22.0,67159.0,138986.0,23091.0,26098.0,12592.0,35.59,107.0,5745.0,50075.0,49620.0,42294.0,21578.0,81757.0,16750.0,267926.0
2022,1,Formosa,34.96,8.9,54548,0.0,16397.0,15927.0,5146.0,16876.0,202.0,30.28,97.0,448.0,24113.0,6945.0,6613.0,716.0,15028.0,588.0,54548.0
2022,1,Jujuy,58.06,14.85,116509,0.0,21307.0,60616.0,25949.0,4662.0,3975.0,27.69,58.0,1761.0,22141.0,16321.0,37923.0,576.0,35287.0,2442.0,116509.0
2022,1,La Pampa,91.66,30.2,109560,172.0,8003.0,58978.0,21739.0,19903.0,1109.0,14.84,301.0,2223.0,62812.0,9869.0,12044.0,5250.0,14400.0,2833.0,109732.0
2022,1,La Rioja,78.77,20.97,84299,4.0,9103.0,59228.0,9546.0,6395.0,31.0,41.37,18.0,778.0,3576.0,4692.0,23624.0,5645.0,45970.0,0.0,84303.0
2022,1,Mendoza,48.74,13.6,274399,786.0,49464.0,74145.0,123228.0,26969.0,1379.0,26.2,114.0,3355.0,51230.0,26407.0,74178.0,21566.0,95048.0,3287.0,275185.0
2022,1,Misiones,49.04,13.36,171508,0.0,39147.0,91752.0,25178.0,7807.0,7624.0,41.87,51.0,3873.0,35655.0,22261.0,26855.0,15854.0,58610.0,8349.0,171508.0
2022,1,Neuquén,74.17,22.08,149208,471.0,28443.0,73200.0,24193.0,23098.0,745.0,43.05,137.0,1123.0,39856.0,15623.0,11163.0,2654.0,71238.0,7885.0,149679.0
2022,1,Río Negro,67.04,20.62,156821,553.0,38662.0,45366.0,38037.0,16815.0,18494.0,31.09,116.0,1383.0,35565.0,18859.0,26926.0,14144.0,37729.0,22652.0,157374.0
2022,1,Salta,56.11,13.59,197510,5.0,44714.0,98667.0,40994.0,5950.0,7190.0,36.71,114.0,1725.0,35576.0,68246.0,6313.0,2214.0,76838.0,6489.0,197515.0
2022,1,San Juan,43.55,11.09,87888,290.0,34038.0,14449.0,11294.0,20723.0,7674.0,11.99,26.0,2269.0,32356.0,11914.0,25144.0,2088.0,11916.0,2465.0,88178.0
2022,1,San Luis,80.72,23.1,119659,185.0,7987.0,11296.0,31.0,71809.0,28721.0,20.95,61.0,643.0,8287.0,3837.0,9802.0,68612.0,13.0,28589.0,119844.0
2022,1,Santa Cruz,43.34,12.89,48898,204.0,10537.0,23420.0,10766.0,3974.0,405.0,10.89,51.0,6898.0,12710.0,11502.0,12277.0,2628.0,2551.0,485.0,49102.0
2022,1,Santa Fe,77.3,24.31,870364,115.0,213486.0,444609.0,146552.0,45261.0,20571.0,38.89,468.0,12435.0,143796.0,208361.0,84787.0,58018.0,344170.0,18444.0,870479.0
